id,lot_area,land_slope,central_air,gr_liv_area,totrms_abvgrd,new_property,saleprice,paved,irregular,cul_de_sac,positive_feature,noisy,years_old,non-living,baseline,condition,floating_village
109,13517,0,1,1479,6,0,130500,1,1,1,0,1,5,769.0,135000.0,28,0
544,11492,0,1,2122,8,0,220000,1,1,1,0,0,12,987.0,181000.0,26,0
153,7922,0,1,1057,5,0,109000,1,0,0,0,0,3,1109.0,141000.0,22,0
318,9802,0,1,1444,7,0,174000,1,0,0,0,0,3,484.0,220000.0,24,0
255,14235,0,1,1445,6,0,138500,1,1,0,0,0,17,735.0,181000.0,24,0
138,16492,0,1,1888,6,0,190000,1,1,0,1,0,8,1517.0,141000.0,26,0
2827,3675,0,1,1072,5,1,140000,1,0,0,0,0,0,591.0,125000.0,23,0
145,12160,0,1,1188,6,0,142000,1,1,0,0,0,51,1188.0,141000.0,21,0
1942,15783,0,1,924,6,0,112500,1,0,0,0,1,55,1248.0,120400.0,20,0
1956,11606,1,1,2080,9,0,135000,1,1,0,0,0,38,1375.0,141000.0,22,0
1044,1680,0,1,987,4,0,85400,1,0,0,0,0,37,483.0,105500.0,21,0
2752,7488,0,1,1208,6,0,183600,1,1,0,0,0,1,1371.0,200000.0,26,0
807,26400,0,1,2016,7,0,131000,1,0,0,0,1,2,0.0,181000.0,26,0
1177,2645,0,1,1607,7,0,200000,1,0,0,0,0,8,1129.0,224000.0,25,1
1480,9627,0,1,1361,6,0,193000,1,0,0,0,0,1,1401.0,200000.0,26,0
324,10114,0,1,1430,7,0,173500,1,0,0,0,0,5,1430.0,160000.0,24,0
1311,4571,0,0,1344,7,0,98000,1,0,0,0,0,58,720.0,120000.0,19,0
770,8816,0,1,1121,5,0,139000,1,0,0,0,1,46,1201.0,135000.0,21,0
2063,8197,0,1,1285,7,0,143500,1,0,0,0,0,30,798.0,135000.0,25,0
69,8640,0,1,1547,7,0,215200,1,0,0,0,0,1,970.0,224000.0,26,1
2062,8724,0,1,894,5,0,129000,1,0,0,0,0,39,894.0,135000.0,23,0
351,5664,0,1,1659,5,0,278000,1,1,0,0,0,9,1772.0,322450.0,27,0
2393,12867,0,1,2253,8,1,344133,1,1,0,0,0,0,1594.0,317500.0,27,0
12,7980,0,1,1187,6,0,185000,1,1,0,0,0,3,1672.0,181250.0,27,0
2339,34650,0,0,1056,5,0,145000,1,0,0,0,0,51,1320.0,180750.0,22,0
624,10573,0,1,1453,6,0,187500,1,1,0,0,0,48,1790.0,141000.0,26,0
86,8450,0,1,894,5,0,138500,1,0,0,0,1,1,1454.0,135000.0,25,0
1534,11700,1,1,1938,7,0,198000,1,1,0,0,0,13,982.0,199500.0,23,0
2243,8250,0,0,1991,9,0,119600,1,0,0,0,1,1,1090.0,102388.0,23,0
1957,8064,0,1,924,6,0,122900,1,0,0,0,1,1,672.0,143000.0,24,0
380,9600,0,1,2524,9,0,278000,1,0,0,1,0,28,3118.0,185000.0,25,0
2860,11435,1,1,1517,7,0,230000,1,1,0,0,0,56,792.0,199500.0,24,0
2517,9549,0,1,1494,6,0,270000,1,1,1,0,0,10,1740.0,260000.0,27,0
1933,10950,0,1,948,5,0,125000,1,0,0,0,0,55,996.0,141000.0,22,0
820,10637,0,1,1718,7,0,297000,1,0,0,0,0,1,1957.0,200000.0,27,0
675,9000,1,1,1142,5,0,113500,1,1,0,0,0,51,252.0,141000.0,22,0
2910,2665,0,1,1475,6,0,127000,1,0,0,0,0,29,887.0,92450.0,25,0
21,11751,0,1,1844,7,0,190000,1,1,0,0,0,33,1966.0,185000.0,26,0
1873,9600,0,1,1242,6,0,175500,1,0,0,0,0,34,1242.0,185000.0,24,0
2125,8428,0,1,990,5,0,146000,1,1,0,0,0,13,1246.0,200000.0,24,0
1489,9937,0,1,1256,6,0,147500,1,0,0,0,0,43,2060.0,125000.0,24,0
2383,13891,0,1,2076,7,1,465000,1,0,0,0,0,0,2521.0,317500.0,29,0
983,9101,0,1,1110,4,0,165500,1,1,0,0,0,31,1430.0,160000.0,25,0
1325,12150,0,0,1795,7,0,131500,1,0,0,0,0,54,1050.0,120000.0,22,0
1378,11200,0,1,1040,5,0,129500,1,0,0,0,0,43,1040.0,135000.0,22,0
1537,9670,1,1,1873,9,0,257076,1,1,0,0,0,58,815.0,199500.0,24,0
905,10998,0,1,1604,6,0,117000,1,0,0,0,0,49,1052.0,125000.0,22,0
1532,7200,1,1,1502,6,0,149000,1,0,0,0,0,8,888.0,199500.0,25,0
132,9920,0,1,1063,6,0,128000,1,0,0,0,0,56,1220.0,141000.0,22,0
1078,2448,0,1,1626,6,0,155000,1,0,0,0,0,4,791.0,317500.0,27,0
2511,2998,0,1,1524,4,0,166000,1,0,0,0,0,6,788.0,224000.0,23,1
912,7804,0,1,1981,7,0,135000,1,0,0,0,0,59,1597.0,136200.0,17,0
2351,16692,0,1,2784,12,0,250000,1,1,0,0,0,28,1944.0,187000.0,24,0
330,1476,0,1,1092,5,0,76000,1,0,0,0,0,40,772.0,92450.0,26,0
2586,10170,0,1,1575,5,0,155000,1,0,0,0,0,55,216.0,141000.0,24,0
224,9364,0,1,1352,7,0,158000,1,0,0,0,0,41,1078.0,135000.0,25,0
98,2544,0,1,1200,4,0,149500,1,0,0,0,0,5,772.0,224000.0,24,1
2565,9888,0,1,936,5,0,121000,1,0,0,0,0,31,1096.0,141000.0,22,0
1934,7942,0,1,1040,6,0,136000,1,0,0,0,0,54,1040.0,141000.0,23,0
997,15038,0,1,1636,7,0,173000,1,1,0,0,0,12,1168.0,180750.0,24,0
64,11764,0,1,2270,9,0,290000,1,1,1,0,0,3,1341.0,300750.0,29,0
1799,9000,0,1,2610,11,1,303477,1,0,0,0,0,0,1756.0,224000.0,28,1
230,20062,1,1,1483,4,0,270000,1,1,0,0,0,9,1916.0,225000.0,27,0
1295,7308,0,0,1740,6,0,122250,1,0,0,0,1,58,1172.0,120000.0,20,0
638,8750,0,1,1382,6,0,153000,1,0,0,0,0,54,1662.0,141000.0,22,0
2278,8402,0,1,1120,6,1,147000,1,0,0,0,1,0,1150.0,160000.0,25,0
2202,4000,0,1,1098,5,0,148500,1,0,0,0,0,12,531.0,199500.0,25,0
2833,3363,0,1,1708,7,0,130000,1,0,0,0,0,2,1016.0,125000.0,24,0
