id,lot_area,land_slope,central_air,gr_liv_area,totrms_abvgrd,new_property,paved,irregular,cul_de_sac,positive_feature,noisy,years_old,non-living,baseline,condition,floating_village
2658,9142,0,0,1928,9,0,1,0,0,0,0,56,1192,120000.0,22,0
2718,9662,0,1,1967,10,0,1,1,0,0,0,29,2137,135000.0,21,0
2414,17104,0,1,1496,7,1,1,1,0,0,0,0,778,180750.0,26,0
1989,8520,0,1,968,5,0,1,0,0,0,0,1,1152,120000.0,21,0
625,9500,0,1,1394,6,0,1,1,0,0,0,46,1655,141000.0,24,0
333,1890,0,1,1092,5,0,1,0,0,0,0,38,610,92450.0,22,0
1327,8516,0,1,1093,5,0,1,0,0,0,0,2,869,120000.0,20,0
858,9286,1,1,1268,5,0,1,1,1,0,0,20,1441,200000.0,22,0
95,3515,0,1,1680,3,0,1,0,0,0,0,6,951,224000.0,26,1
1568,10125,0,1,1279,6,0,1,0,0,0,0,31,1517,160000.0,22,0
2482,7175,0,1,1217,5,0,1,0,0,0,0,15,1281,181000.0,24,0
1364,7200,0,1,1040,5,0,1,0,0,0,0,16,1172,102388.0,24,0
2584,11310,0,1,1375,5,0,1,0,0,0,0,52,1397,141000.0,25,0
818,7976,0,1,2787,8,0,1,0,0,0,1,9,1480,181000.0,27,0
2673,11737,0,0,1827,9,0,1,1,0,0,0,10,953,128000.0,23,0
2089,9060,0,1,1340,7,0,1,0,0,0,1,1,296,125000.0,25,0
1297,10800,0,1,1436,8,0,1,0,0,0,0,58,1010,120000.0,22,0
790,9571,0,1,1073,5,0,1,0,0,0,0,53,1073,125000.0,21,0
2616,10800,0,1,1773,6,0,1,0,0,1,0,14,1910,141000.0,24,0
720,17671,0,1,1742,8,0,1,0,0,0,1,23,1085,120000.0,30,0
222,8246,0,1,1060,6,0,1,1,0,0,0,9,1556,135000.0,27,0
557,8499,0,1,864,5,0,1,1,0,0,1,48,1176,135000.0,23,0
1148,8012,0,1,1617,5,0,1,0,0,0,0,14,1673,181000.0,25,0
2766,21453,1,1,988,4,0,1,1,1,0,0,37,1198,225000.0,25,0
534,9605,0,1,1218,6,0,1,0,0,0,0,2,1396,181000.0,25,0
1452,7180,0,1,864,5,0,1,1,0,0,0,36,864,200000.0,22,0
630,12513,0,1,1738,7,0,1,1,0,0,1,2,770,141000.0,21,0
2648,9000,0,1,1750,8,0,1,0,0,0,1,15,929,120000.0,20,0
125,8800,0,1,1054,6,0,1,0,0,0,1,47,1056,141000.0,27,0
1904,3500,0,0,670,4,0,1,0,0,0,1,57,391,130000.0,20,0
1670,7340,0,1,858,4,0,1,1,0,0,0,36,858,141000.0,20,0
756,6240,0,1,1208,5,0,1,0,0,0,0,59,915,102388.0,18,0
717,11700,0,0,2640,8,0,1,1,0,0,0,6,1807,120000.0,24,0
1032,10000,0,1,1178,5,0,1,0,0,0,0,8,1400,185000.0,24,0
852,11166,0,1,1492,6,0,1,0,0,0,0,8,1774,200000.0,26,0
1731,13204,0,1,1458,6,1,1,1,0,0,0,0,741,180750.0,27,0
2639,5520,0,0,1657,9,0,1,0,0,0,0,26,1147,120000.0,20,0
2071,9000,0,0,998,5,0,1,0,0,0,0,57,140,135000.0,21,0
1267,8892,0,1,910,5,0,1,0,0,0,0,12,451,141000.0,25,0
1851,7321,0,1,1358,5,0,1,1,0,0,0,7,1689,224000.0,24,1
567,3951,0,1,1224,4,1,1,0,0,0,0,0,846,224000.0,23,1
2439,11214,0,1,1886,10,0,1,1,0,0,0,7,1019,180750.0,25,0
1898,7388,0,1,1327,7,0,1,0,0,0,0,5,1063,141000.0,22,0
647,14559,0,1,1363,6,0,1,0,0,0,0,9,1542,143000.0,23,0
2256,4054,0,1,1501,5,0,1,1,0,0,0,20,1741,220000.0,27,0
979,1533,0,1,1344,6,0,1,0,0,0,0,1,546,92450.0,23,0
1444,11250,0,1,1786,6,0,1,1,0,0,0,6,962,200000.0,26,0
2485,7800,0,1,965,6,0,1,0,0,0,0,41,1249,181000.0,21,0
157,5868,0,1,936,4,0,1,0,0,0,0,10,1176,141000.0,26,0
88,7500,0,1,1040,5,0,1,0,0,0,1,47,1260,135000.0,21,0
2003,9439,0,1,1248,6,0,1,0,0,0,0,57,1104,120000.0,20,0
186,9000,0,1,2268,7,0,1,0,0,0,0,8,454,120000.0,29,0
1425,9345,0,1,1615,7,0,1,1,0,0,0,1,1813,200000.0,27,0
2695,7200,0,1,1360,6,0,1,0,0,0,0,11,1058,102388.0,23,0
738,6000,0,1,1142,6,0,1,0,0,0,0,59,566,128000.0,23,0
395,7930,0,1,1026,5,0,1,0,0,0,0,4,1245,141000.0,25,0
1353,9120,0,1,1820,8,0,1,0,0,0,0,58,1126,128000.0,25,0
1878,9503,0,1,1344,6,0,1,0,0,0,0,24,1368,141000.0,20,0
390,11050,0,1,1193,5,0,1,1,0,0,0,34,1216,185000.0,23,0
1456,10316,0,1,1865,7,0,1,1,0,0,0,8,1176,200000.0,26,0
1103,11675,0,1,2006,5,0,1,1,0,0,0,10,2159,300750.0,27,0
1387,12900,0,1,1140,6,0,1,0,0,0,1,58,1490,135000.0,17,0
2070,13770,0,1,1176,6,0,1,0,0,0,1,9,1158,135000.0,23,0
1199,13355,0,1,1670,7,0,1,1,0,0,0,37,825,185000.0,25,0
2479,7153,0,1,1603,7,0,1,0,0,0,0,14,885,181000.0,25,0
501,10750,0,1,2063,7,0,1,1,1,0,0,14,2262,300750.0,27,0
2362,8125,0,1,858,5,0,1,1,0,0,0,35,858,141000.0,21,0
1718,3903,0,1,1302,5,0,1,0,0,0,0,1,1462,317500.0,25,0
2188,4270,1,1,774,6,0,1,0,0,0,0,1,830,125000.0,24,0
1483,4426,0,1,848,3,0,1,0,0,0,0,4,997,200000.0,25,0
2557,5825,0,1,747,5,0,1,1,0,0,0,53,632,128000.0,20,0
437,23303,0,1,2520,10,0,1,1,1,0,0,2,1973,317500.0,28,0
2224,25485,0,1,1560,6,0,1,1,1,0,0,47,2219,199500.0,22,0
1628,10784,0,1,1472,7,0,1,1,0,0,0,15,548,180750.0,25,0
397,8510,0,1,1050,6,0,1,1,0,0,0,38,1043,141000.0,26,0
587,17871,0,1,1724,7,0,1,1,1,0,0,33,1680,185000.0,22,0
971,21750,0,1,1771,9,0,1,0,0,0,0,3,0,160000.0,21,0
2611,9510,0,1,1207,6,0,1,0,0,0,0,21,1375,141000.0,25,0
1887,8339,0,1,882,5,0,1,1,0,0,0,48,0,142200.0,24,0
2399,14828,0,1,1780,7,0,1,1,0,0,0,1,1992,317500.0,28,0
2148,8749,0,1,1459,6,0,1,0,0,0,0,5,1690,200000.0,26,0
304,9140,0,1,1107,5,0,1,0,0,0,0,35,885,102388.0,20,0
1997,3600,0,1,1358,6,0,1,0,0,0,0,2,719,120000.0,23,0
2817,8777,0,1,1436,6,0,1,0,0,0,1,6,823,125420.0,23,0
1431,12798,1,1,1688,8,0,1,1,0,0,1,11,1318,225400.0,24,0
427,12704,0,1,2042,8,1,1,0,0,0,0,0,2132,317500.0,27,0
263,7480,0,1,876,5,0,1,0,0,0,0,38,876,200000.0,21,0
598,16500,0,1,1320,5,0,1,0,0,0,0,38,1252,185000.0,22,0
2895,16669,0,1,1707,6,0,1,1,0,0,0,25,2324,220000.0,26,0
687,8064,0,1,1495,6,0,1,0,0,0,1,15,1080,141000.0,23,0
1822,7758,0,1,999,6,0,1,1,0,0,0,6,1131,135000.0,23,0
2191,11767,0,0,1346,6,0,1,0,0,0,0,7,752,125000.0,22,0
179,6900,0,1,1251,6,0,1,0,0,0,0,10,827,120000.0,24,0
1009,4671,0,1,1228,5,0,1,1,0,0,0,19,1516,322450.0,26,0
